author	title	publication_date	link	path	filename	document_id	entity_linking
Rotrou, Jean de	Cosroes. Tragedie. De monsieur de Rotrou.	1649	http://catalogue.bnf.fr/ark:/12148/cb31251874w	../TheatreLFSV2-downloaded/NER/btv1b8622110f.tar.gz.tei_segmented_ner.xml	btv1b8622110f.tar.gz.tei_segmented_ner.xml	btv1b8622110f	spacy_entity_fishing
Bordelon, Laurent	La baguette de Vulcain Comedie	1693	http://catalogue.bnf.fr/ark:/12148/cb387560512	../TheatreLFSV2-downloaded/NER/bpt6k859543c.tar.gz.tei_segmented_ner.xml	bpt6k859543c.tar.gz.tei_segmented_ner.xml	bpt6k859543c	spacy_entity_fishing
	Tragi-comédie de la Rébellion ou mescontentement des Grenouilles contre Jupiter	1620	http://catalogue.bnf.fr/ark:/12148/cb336282581	../TheatreLFSV2-downloaded/NER/bpt6k857059w.tar.gz.tei_segmented_ner.xml	bpt6k857059w.tar.gz.tei_segmented_ner.xml	bpt6k857059w	spacy_entity_fishing
Corneille, Pierre	Polyeucte martyr, tragédie chrestienne	1652	http://catalogue.bnf.fr/ark:/12148/cb38650371w	../TheatreLFSV2-downloaded/NER/bpt6k1280316r.tar.gz.tei_segmented_ner.xml	bpt6k1280316r.tar.gz.tei_segmented_ner.xml	bpt6k1280316r	spacy_entity_fishing
Mareschal, André	Le dictateur romain , tragédie...	1646	http://catalogue.bnf.fr/ark:/12148/cb30881255g	../TheatreLFSV2-downloaded/NER/bpt6k1513909d.tar.gz.tei_segmented_ner.xml	bpt6k1513909d.tar.gz.tei_segmented_ner.xml	bpt6k1513909d	spacy_entity_fishing
Abeille, Gaspard	Coriolan , tragédie. Par M. Abeille	1676	http://catalogue.bnf.fr/ark:/12148/cb30000577b	../TheatreLFSV2-downloaded/NER/bpt6k5742924x.tar.gz.tei_segmented_ner.xml	bpt6k5742924x.tar.gz.tei_segmented_ner.xml	bpt6k5742924x	spacy_entity_fishing
Mairet, Jean	Le Roland furieux, tragicomedie de Mairet	1640	http://catalogue.bnf.fr/ark:/12148/cb308628282	../TheatreLFSV2-downloaded/NER/btv1b8622115h.tar.gz.tei_segmented_ner.xml	btv1b8622115h.tar.gz.tei_segmented_ner.xml	btv1b8622115h	spacy_entity_fishing
Mary, Nicolas	Orphise, ou La beauté persécutée , tragi-comédie. Par le sieur Desfontaines	1638	http://catalogue.bnf.fr/ark:/12148/cb303305497	../TheatreLFSV2-downloaded/NER/bpt6k5713889d.tar.gz.tei_segmented_ner.xml	bpt6k5713889d.tar.gz.tei_segmented_ner.xml	bpt6k5713889d	spacy_entity_fishing
	Tite et Titus, ou Critique sur les Berenices, comédie	1673	http://catalogue.bnf.fr/ark:/12148/cb44729675c	../TheatreLFSV2-downloaded/NER/bpt6k1090242p.tar.gz.tei_segmented_ner.xml	bpt6k1090242p.tar.gz.tei_segmented_ner.xml	bpt6k1090242p	spacy_entity_fishing
Scarron, Paul	L'escolier de Salamanque, ou Les généreux ennemis , tragi-comédie de Mr Scarron, dédiée à... Mademoiselle	1655	http://catalogue.bnf.fr/ark:/12148/cb313084529	../TheatreLFSV2-downloaded/NER/bpt6k841852.tar.gz.tei_segmented_ner.xml	bpt6k841852.tar.gz.tei_segmented_ner.xml	bpt6k841852	spacy_entity_fishing
Molière	L'Escole des femmes, comédie par J. B. P. Molière	1674	http://catalogue.bnf.fr/ark:/12148/cb38650901c	../TheatreLFSV2-downloaded/NER/bpt6k1280452z.tar.gz.tei_segmented_ner.xml	bpt6k1280452z.tar.gz.tei_segmented_ner.xml	bpt6k1280452z	spacy_entity_fishing
Belisle	Le Mariage de la reine de Monomotapa, comédie	1682	http://catalogue.bnf.fr/ark:/12148/cb30078974s	../TheatreLFSV2-downloaded/NER/bpt6k852871n.tar.gz.tei_segmented_ner.xml	bpt6k852871n.tar.gz.tei_segmented_ner.xml	bpt6k852871n	spacy_entity_fishing
Bonarelli, Guido Baldo	La Filis de Scire , comédie-pastorale, tirée de l'italien par le sieur Pichou,...	1631	http://catalogue.bnf.fr/ark:/12148/cb31105673r	../TheatreLFSV2-downloaded/NER/bpt6k5626158d.tar.gz.tei_segmented_ner.xml	bpt6k5626158d.tar.gz.tei_segmented_ner.xml	bpt6k5626158d	spacy_entity_fishing
Brueys, David-Augustin de	Gabinie, tragédie chrétienne	1699	http://catalogue.bnf.fr/ark:/12148/cb44729622s	../TheatreLFSV2-downloaded/NER/bpt6k1090187x.tar.gz.tei_segmented_ner.xml	bpt6k1090187x.tar.gz.tei_segmented_ner.xml	bpt6k1090187x	spacy_entity_fishing
Molière	Dom Garcie de Navarre ou le Prince jaloux, comédie...	1689	http://catalogue.bnf.fr/ark:/12148/cb38650757f	../TheatreLFSV2-downloaded/NER/bpt6k1280418x.tar.gz.tei_segmented_ner.xml	bpt6k1280418x.tar.gz.tei_segmented_ner.xml	bpt6k1280418x	spacy_entity_fishing
Chevalier, Guillaume de	Philis, tragédie . A monsieur de Bassompierre, seigneur et baron dudit lieu, Harouel, Remouille, Baudricourt &c. colonel de quinze cens chevaux reistres entretenus pour le service du Roy	1609	http://catalogue.bnf.fr/ark:/12148/cb302352750	../TheatreLFSV2-downloaded/NER/bpt6k1352544.tar.gz.tei_segmented_ner.xml	bpt6k1352544.tar.gz.tei_segmented_ner.xml	bpt6k1352544	spacy_entity_fishing
Molière	L'Avare, comedie. Par J. B. P. Moliere	1669	http://catalogue.bnf.fr/ark:/12148/cb45809078n	../TheatreLFSV2-downloaded/NER/bpt6k12805381.tar.gz.tei_segmented_ner.xml	bpt6k12805381.tar.gz.tei_segmented_ner.xml	bpt6k12805381	spacy_entity_fishing
Gilbert, Gabriel	Chresphonte, ou le Retour des Heraclides dans le Peloponese, tragi-comédie	1659	http://catalogue.bnf.fr/ark:/12148/cb44729696b	../TheatreLFSV2-downloaded/NER/bpt6k1090263v.tar.gz.tei_segmented_ner.xml	bpt6k1090263v.tar.gz.tei_segmented_ner.xml	bpt6k1090263v	spacy_entity_fishing
Hauteroche, Noël Lebreton	La dame invisible , comédie. Par M. de Hauteroche	1685	http://catalogue.bnf.fr/ark:/12148/cb305823006	../TheatreLFSV2-downloaded/NER/bpt6k6263758w.tar.gz.tei_segmented_ner.xml	bpt6k6263758w.tar.gz.tei_segmented_ner.xml	bpt6k6263758w	spacy_entity_fishing
Brinon de Beaumartin, Pierre de	La tragédie des rebelles, où sont les noms feints	1622	http://catalogue.bnf.fr/ark:/12148/cb301619297	../TheatreLFSV2-downloaded/NER/bpt6k57342347.tar.gz.tei_segmented_ner.xml	bpt6k57342347.tar.gz.tei_segmented_ner.xml	bpt6k57342347	spacy_entity_fishing
Molière	L'Amour medecin, comedie, Par J. B. P. Moliere	1666	http://catalogue.bnf.fr/ark:/12148/cb45796169x	../TheatreLFSV2-downloaded/NER/bpt6k1280467d.tar.gz.tei_segmented_ner.xml	bpt6k1280467d.tar.gz.tei_segmented_ner.xml	bpt6k1280467d	spacy_entity_fishing
Brueys, David-Augustin de	Le grondeur , comédie	1693	http://catalogue.bnf.fr/ark:/12148/cb30167536v	../TheatreLFSV2-downloaded/NER/bpt6k5754483z.tar.gz.tei_segmented_ner.xml	bpt6k5754483z.tar.gz.tei_segmented_ner.xml	bpt6k5754483z	spacy_entity_fishing
