author,title,publication_date,link,document_id,document_length,link_OCR
"Lavalise, De",La farce des courtisans de Pluton et leur pèlerinage en son royaume,1649,http://catalogue.bnf.fr/ark:/12148/cb30753852s,bpt6k5849655v,34819,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5849655v.txt
"Rosimond, Claude Rose","La Dupe amoureuse, comédie",1671,http://catalogue.bnf.fr/ark:/12148/cb44729568t,bpt6k1090133c,34291,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090133c.txt
,"Le martyre de sainte Reyne d'Alise , tragedie. Composée par un religieux de l'abbaye de Flavigny, où repose le corps de sainte Reine. Premiere edition",1687,http://catalogue.bnf.fr/ark:/12148/cb39333929p,btv1b8614585w,66999,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b8614585w.txt
"Chevreau, Urbain",L'Innocent exilé . Tragi-comédie,1640,http://catalogue.bnf.fr/ark:/12148/cb30236833z,bpt6k61251657,97164,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k61251657.txt
"Rotrou, Jean de",La Diane comédie . Par le Sieur Rotrou. Dédiée à Monsieur le comte de Fiesque,1635,http://catalogue.bnf.fr/ark:/12148/cb31251882h,btv1b86221269,100960,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b86221269.txt
"Genest, Charles-Claude","Zelonide, princesse de Sparte . Tragedie",1682,http://catalogue.bnf.fr/ark:/12148/cb30494969b,bpt6k9807756q,79661,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k9807756q.txt
"Hardy, Alexandre","Les chastes et loyales amours de Théagène et Cariclée , réduites du grec de l'Histoire d'Héliodore en huict poèmes dragmatiques ou théâtres consécutifs, par Alexandre Hardy, Parisien",1623,http://catalogue.bnf.fr/ark:/12148/cb30589051z,bpt6k63635719,541424,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k63635719.txt
"Chevalier, Jean",La disgrâce des domestiques : comédie représentée sur le théâtre royal du Marais / [par J. Chevalier],1662,http://catalogue.bnf.fr/ark:/12148/cb302353351,bpt6k1519298v,26540,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1519298v.txt
Néel,"L'illusion grotesque ou le point nécromancien, comédie / par M. Néel...",1678,http://catalogue.bnf.fr/ark:/12148/cb387666121,bpt6k852913n,39981,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k852913n.txt
"Scudéry, Georges de","L'Amour tirannique, tragédie-comédie, par M. de Scudéry",1639,http://catalogue.bnf.fr/ark:/12148/cb31341723p,btv1b8607044w,160764,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b8607044w.txt
"Corneille, Pierre","Cinna, ou la Clémence d'Auguste, tragédie (par P. Corneille)...",1646,http://catalogue.bnf.fr/ark:/12148/cb30271545r,bpt6k1280290z,101620,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1280290z.txt
Molière,"Les Festes de l'Amour et de Bacchus, pastorale [Divertissements des Amants magnifiques, de George Dandin et Pastorale comique, de Molière, arrangés par Quinault et Lully] précédée de la Grotte de Versailles, représentées à l'Académie royale de musique",1696,http://catalogue.bnf.fr/ark:/12148/cb30958633h,bpt6k15163632,28715,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k15163632.txt
"Colonia, Dominique de","Germanicus, tragédie",1693,http://catalogue.bnf.fr/ark:/12148/cb44729547v,bpt6k10901126,58995,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k10901126.txt
"Romain, Nicolas","Maurice tragoedie. Dediée à tres-haut, & tres-genereux prince monseigneur de Vaudemont François de Lorraine. Par Nicolas Romain docteur és droicts, conseiller de mondict seigneur, capitaine, prevost, & gruyer du Pont-à-Mousson",1606,http://catalogue.bnf.fr/ark:/12148/cb38769005t,bpt6k8569793,145985,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k8569793.txt
"Millet, Jean",Pastorale et tragi-comedie de Janin,1692,http://catalogue.bnf.fr/ark:/12148/cb44729496s,bpt6k1090060x,141687,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090060x.txt
"Puget de La Serre, Jean","Le Pyrame, tragédie en prose",1633,http://catalogue.bnf.fr/ark:/12148/cb447294854,bpt6k1090048g,73267,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090048g.txt
,"La Cocue imaginaire, comedie",1662,http://catalogue.bnf.fr/ark:/12148/cb44729574r,bpt6k1090139v,42313,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090139v.txt
Molière,Le grand divertissement royal de Versailles,1668,http://catalogue.bnf.fr/ark:/12148/cb30958657h,bpt6k1526239b,11922,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1526239b.txt
"Rosimond, Claude Rose","Les Qui pro quo, ou le Valet etourdy, comédie",1673,http://catalogue.bnf.fr/ark:/12148/cb447296652,bpt6k1090230g,57297,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090230g.txt
"Rotrou, Jean de","L'hypocondriaque, ou Le mort amoureux , tragi-comédie.Dédiée a monseigneur le comte de Soissons. Par le Sr Rotrou.",1631,http://catalogue.bnf.fr/ark:/12148/cb312518966,bpt6k5828916x,115455,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5828916x.txt
"Chevalier, Jean","Les Galans ridicules ou les Amours de Guillot et de Ragotin, comédie...",1662,http://catalogue.bnf.fr/ark:/12148/cb393251330,bpt6k1519300g,24573,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1519300g.txt
"Racine, Jean","Athalie , tragédie tirée de l'Écriture sainte [de J. Racine]",1691,http://catalogue.bnf.fr/ark:/12148/cb31169029t,bpt6k15107128,97370,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k15107128.txt
Molière,"L'avare , comédie par J.-B. P. Molière",1669,http://catalogue.bnf.fr/ark:/12148/cb309583988,btv1b8610783h,120477,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b8610783h.txt
Baussays,"La Cydippe de Monsieur le Chevalier de Baussays, pastorale",1632,http://catalogue.bnf.fr/ark:/12148/cb38652182g,bpt6k853059s,104287,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k853059s.txt
"Passerat, François","L'heureux accident ou la maison de campagne, comédie / par M. Passerat",1695,http://catalogue.bnf.fr/ark:/12148/cb38767264d,bpt6k852855g,55373,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k852855g.txt
